,stock_id,NumberOfSharesIssued,price,market_cap,EPS,PE_ratio,IncomeAfterTaxes,equity,ROE(%),TotalAssets,ROA(%)
51,2329,555329933.0,18.8,10440202740.4,0.65,28.923076923076923,432841000.0,9335481000.0,4.636515247580709,16534366000.0,2.617826410761683
52,5222,67820782.0,136.0,9223626352.0,1.02,133.33333333333334,68409000.0,1891364000.0,3.6169135079233827,2257941000.0,3.029707153552728
53,6525,129047384.0,71.1,9175269002.4,2.28,31.18421052631579,293386000.0,4266832000.0,6.8759679312426645,7001418000.0,4.190379720222389
54,5471,167877062.0,52.6,8830333461.2,0.56,93.92857142857142,94172000.0,3572222000.0,2.636230335068761,4286684000.0,2.1968495928321286
55,6451,107464800.0,79.9,8586437520.000001,1.61,49.62732919254658,162669000.0,6700329000.0,2.4277763077007113,15023448000.0,1.0827674179722258
56,8028,148773629.0,56.5,8405710038.5,0.81,69.75308641975309,122681000.0,2934773000.0,4.18025516794655,8228483000.0,1.4909309528864556
57,2436,178009961.0,47.1,8384269163.1,-0.15,-314.0,-28004000.0,3762679000.0,-0.7442569509649906,6362084000.0,-0.44017023352725304
58,5285,102040926.0,67.7,6908170690.200001,1.02,66.37254901960785,103877000.0,3091854000.0,3.3596993907215547,5781386000.0,1.7967490840431688
59,8110,521721876.0,13.1,6834556575.599999,0.52,25.19230769230769,245193000.0,10223818000.0,2.3982527857988085,19909086000.0,1.2315633173717768
60,2342,156156744.0,42.0,6558583248.0,1.28,32.8125,200036000.0,2762822000.0,7.240278237251621,4223336000.0,4.736445312426006
61,3530,78168900.0,80.1,6261328890.0,-0.04,-2002.4999999999998,-3350000.0,2655025000.0,-0.1261758363857214,3844004000.0,-0.08714871264441973
62,3583,81139000.0,74.2,6020513800.0,1.89,39.25925925925926,152105000.0,3448190000.0,4.4111548377554595,12802407000.0,1.1880968945917747
63,3450,145681382.0,40.2,5856391556.400001,0.6,67.00000000000001,231394000.0,6103688000.0,3.791052229406221,10001550000.0,2.313581394883793
64,2369,380102344.0,14.55,5530489105.2,-0.09,-161.66666666666669,-36348000.0,5860773000.0,-0.6201912273346878,8769049000.0,-0.4145033286961904
65,4952,108815816.0,50.3,5473435544.799999,1.07,47.009345794392516,116486000.0,2485502000.0,4.686618638810188,3440140000.0,3.3860831245240015
66,6799,40384133.0,123.5,4987440425.5,1.74,70.97701149425288,71667000.0,1344482000.0,5.330454405488508,1545529000.0,4.637053073737212
67,8271,111688266.0,42.45,4741166891.700001,1.15,36.913043478260875,135948000.0,3800670000.0,3.5769482749094235,5472542000.0,2.484183766885663
